currency,name,fullName,precision,isMarginEnabled,isDebitEnabled
BHC,bhc,black hole coin,8,False,False
BNTY,bnty,bounty0x,8,False,False
BOS,bos,boscoin,8,False,False
BPT,bpt,bux platform token,8,False,False
BRD,brd,bread,8,False,False
BTC,btc,bitcoin,8,True,True
BTCP,btcp,bitcoin private,8,False,False
BTG,btg,bitcoin gold,8,False,False
BTM,btm,bytom,8,False,False
BU,bu,bumo,8,False,False
CAG,cag,change,8,False,False
CAN,can,canya,8,False,False
CAPP,capp,cappasity,8,False,False
CAT,cat,bitclave,8,False,False
CBC,cbc,cbc.network,8,False,False
CFD,cfd,confido,8,False,False
CHP,chp,coinpoker,8,False,False
CHSB,chsb,swissborg,8,False,False
COFI,cofi,coinfi,8,False,False
COSM,cosm,cosmo coin,8,False,False
COV,cov,covesting,8,False,False
CPC,cpc,cpchain,8,False,True
CRPT,crpt,crypterium,8,False,False
CS,cs,credits,8,False,True
CTR,ctr,centra,8,False,False
CV,cv,carvertical,8,False,False
CVC,cvc,civic,8,False,False
CXO,cxo,cargox,8,False,False
DACC,dacc,decentralized accessible content chain,8,False,False
DADI,dadi,edge,8,False,False
DAG,dag,constellation,8,False,True
DAI,dai,dai,8,False,True
DASH,dash,dash,8,True,True
DAT,dat,datum,8,False,False
DATX,datx,datx,8,False,False
DBC,dbc,deepbrain chain,8,False,False
DCC,dcc,distributed credit chain,8,False,False
DCR,dcr,decred,8,False,False
DEB,deb,debitum network,8,False,False
DENT,dent,dent,8,False,False
DGB,dgb,digibyte,8,True,True
